"brand","count"
"AIWA",24
"AKAI",39
"ALTIUS",5
"AOA",4
"ARK",1
"AVEL INNOVATIONS",3
"BAUHN",84
"BLAUPUNKT",115
"BROOKLYN",1
"CAIXUN",94
"CHIQ",43
"CONCENTRIC CARE",1
"DECAMAX",1
"DEVANTI",7
"DGTEC",7
"DYNALINK",1
"EKO",194
"ELITELUX",1
"EMETE",55
"ENGLAON",30
"FFALCON",21
"FURRION",4
"GORILLA",6
"HISENSE",208
"HITACHI",8
"HUBBL",1
"HUBBL GLASS",2
"HYUNDAI",11
"ILUMA",14
"JVC",103
"KODAK",5
"KOGAN",605
"KONIC",15
"KONKA",30
"LAD",1
"LG",641
"LINSAR",47
"LOEWE",14
"LSP TV",1
"METZ",7
"MITSUMARU",1
"MONSTER",4
"MYVI",3
"PALSONIC",2
"PANASONIC",62
"PHILIPS",157
"POLAROID",20
"PRISM+",8
"Q.BELL",2
"QBELL",7
"S VISION",1
"SAMSUNG",171
"SAMSUNG ELECTRONICS",891
"SHARETV",1
"SHARP",11
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",4
"SIGNIFY",1
"SKYWORTH",9
"SMARTTECH",5
"SMTV",6
"SONIQ",11
"SONY",90
"SPHERE",13
"STAN CASH",1
"STARVISION",2
"SVISION",8
"SYLVOX",34
"TAVICE",1
"TCL",100
"TEAC",29
"TECO",12
"TELEFUNKEN",3
"THOMSON",7
"TOSHIBA",37
"VDT",1
"VEON",31
"VIANO",2
"WALTON",24
"YOKOHAMA",3
