"brand","Model_No","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Labelled energy consumption (kWh/year)","ExpDate","Star2","Star Image Large","Power supply","Tuner Type","What test standard was used","Registration Number","Regulatory Standard","screensize_inches","Screen Size (LMS)","count"
"AIWA","AW240DVD","Australia","China",59.824,1528.86807072,"LCD",91,"2029-01-16",4.5,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","Internal","unknown","AS/NZS 62087.1:2010","ATV5965","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",24,"Small",1
"AIWA","AWA320S","Australia,Fiji","China",79.967,2732.2400000000002,"LCD (LED)",104,"2026-01-22",6,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4320","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",31,"Small",1
"AIWA","AWA400S","Australia,Fiji","China",100.305,4258.3,"LCD (LED)",148,"2026-01-18",6,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4294","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",39,"Medium",1
"AIWA","AWA500US","Australia,Fiji","China",125.725,6751.36,"LCD (LED)",265,"2026-01-22",5,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4319","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",49,"Medium",1
"AIWA","AWA550US","Australia,Fiji","China",138.711,8221.2,"LCD",320,"2025-11-27",5,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4201","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",55,"Large",1
"AIWA","AWA650US","Australia,Fiji","China",163.829,11466.84,"LCD (LED)",499,"2025-12-03",4.5,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4211","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",64,"Large",1
"AIWA","AWC240G","Australia","China",59.774,1526.53,"LCD (LED)",82,"2029-05-20",5,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ATV6186","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",24,"Small",1
"AIWA","AWC240WZ","Australia,Fiji,New Zealand","China",59.774,1526.53,"LCD (LED)",105,"2029-08-19",4,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","EPS","Digital","AS/NZS 62087.1:2010","ATV6296","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",24,"Small",1
"AIWA","AWC320G","Australia","China",80.054,2736.1600000000003,"LCD (LED)",116,"2029-06-06",5.5,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ATV6222","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",32,"Medium",1
"AIWA","AWC320WZ","Australia,Fiji,New Zealand","China",79.967,2732.2400000000002,"LCD (LED)",145,"2029-08-20",4.5,"https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","EPS","Digital","AS/NZS 62087.1:2010","ATV6297","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",31,"Small",1
